Sprint,SumBV,Cumulative_SumBV,SumBVCompleted,Cumulative_SumBVCompleted,% completed
Sprint 1,72,72,72,72,10%
Sprint 2,72,144,72,144,20%
Sprint 3,16,160,16,160,22%
Sprint 4,0,160,0,160,22%
Sprint 5,64,224,48,208,29%
Sprint 6,128,352,0,,
Sprint 7,0,352,0,,
Sprint 8,0,352,0,,
Sprint 9,0,352,0,,
Sprint 10,0,352,0,,
Sprint 11,0,352,0,,
Sprint 12,0,352,0,,
Sprint 13,0,352,0,,
Sprint 14,0,352,0,,
Sprint 15,0,352,0,,
Sprint 16,0,352,0,,
Sprint 17,0,352,0,,
Sprint 18,0,352,0,,
Sprint 19,0,352,0,,
null,375,727,0,,
,,,,,
,,,,,
,,,,,
